TransactionID,CustomerID,ProductID,Quantity,Price,TransactionDate
T00104,C1189,P431,7,419.23,2025-06-07
T00105,C1540,P443,6,81.28,2025-02-25
T00106,C1963,P340,6,331.9,2025-01-18
T00107,C1494,P545,8,212.25,2025-01-03
T00108,C1626,P244,8,18.17,2025-06-27
T00109,C1946,P240,2,61.5,2025-02-10
T00110,C1292,P218,1,299.93,2025-04-22
T00111,C1041,P473,9,272.46,2025-05-21
T00112,C1754,P575,8,424.11,2025-01-16
T00113,C1819,P258,8,225.24,2025-01-20
T00114,C1535,P518,2,464.13,2025-04-13
T00115,C1129,P446,4,424.68,2025-06-17
T00116,C1060,P530,8,178.43,2025-06-04
T00117,C1551,P201,7,451.99,2025-02-11
T00118,C1410,P555,5,495.08,2025-03-29
T00119,C1011,P383,6,252.33,2025-06-08
T00120,C1555,P237,8,381.75,2025-02-15
T00121,C1359,P239,6,26.49,2025-05-25
T00122,C1862,P517,9,189.76,2025-04-10
T00123,C1506,P293,9,203.61,2025-04-12
T00124,C1632,P221,9,287.38,2025-02-26
T00125,C1537,P353,2,497.14,2025-02-12
T00126,C1747,P377,6,322.18,2025-01-13
T00127,C1423,P136,9,295.04,2025-02-01
T00128,C1814,P352,2,434.15,2025-01-09
T00129,C1783,P172,1,301.9,2025-03-13
T00130,C1627,P238,7,342.63,2025-04-24
T00131,C1980,P431,5,312.25,2025-03-25
T00132,C1189,P299,3,330.75,2025-04-05
T00133,C1767,P352,7,122.28,2025-03-12
T00134,C1459,P402,10,436.33,2025-04-22
T00135,C1498,P197,3,20.38,2025-03-22
T00136,C1315,P274,7,54.32,2025-03-26
T00137,C1562,P455,8,375.17,2025-01-23
T00138,C1844,P288,7,325.65,2025-06-28
T00139,C1887,P344,7,140.24,2025-04-01
T00140,C1322,P291,4,204.15,2025-02-21
T00141,C1715,P173,6,157.61,2025-03-31
T00142,C1066,P582,2,468.84,2025-02-05
T00143,C1105,P319,9,355.02,2025-04-25
T00144,C1899,P180,3,444.07,2025-02-10
T00145,C1349,P449,7,303.26,2025-03-28
T00146,C1454,P533,8,423.98,2025-04-15
T00147,C1274,P243,7,40.53,2025-03-29
T00148,C1916,P492,6,363.81,2025-03-06
T00149,C1069,P112,1,134.24,2025-02-14
T00150,C1904,P331,3,301.0,2025-02-06
T00151,C1698,P361,6,171.9,2025-05-13
T00152,C1785,P189,8,242.88,2025-05-22
T00153,C1653,P441,2,409.0,2025-06-19
T00154,C1671,P239,8,480.07,2025-05-13
T00155,C1200,P202,1,14.35,2025-05-20
T00156,C1414,P590,4,115.79,2025-06-14
T00157,C1187,P341,6,19.54,2025-02-28
T00158,C1409,P190,5,61.4,2025-04-02
T00159,C1709,P559,2,411.61,2025-06-08
T00160,C1531,P426,9,449.15,2025-03-21
T00161,C1141,P295,9,32.42,2025-03-28
T00162,C1738,P431,3,80.56,2025-04-03
T00163,C1276,P528,2,420.79,2025-04-09
T00164,C1164,P492,9,271.79,2025-02-14
T00165,C1036,P354,1,409.77,2025-05-16
T00166,C1933,P367,6,78.33,2025-03-25
T00167,C1364,P128,5,466.21,2025-01-11
T00168,C1423,P465,10,448.09,2025-06-08
T00169,C1340,P254,3,133.87,2025-01-27
T00170,C1465,P476,5,155.1,2025-03-27
T00171,C1122,P417,6,59.94,2025-06-09
T00172,C1927,P535,7,470.88,2025-03-09
T00173,C1337,P490,3,344.71,2025-06-12
T00174,C1440,P395,5,388.37,2025-06-24
T00175,C1948,P151,3,464.84,2025-01-19
T00176,C1004,P423,8,50.69,2025-03-13
T00177,C1207,P390,1,112.98,2025-03-25
T00178,C1632,P427,5,61.28,2025-02-06
T00179,C1416,P553,9,420.3,2025-06-11
T00180,C1683,P256,2,451.2,2025-05-21
T00181,C1848,P154,3,465.8,2025-03-13
T00182,C1279,P569,5,392.84,2025-04-08
T00183,C1603,P162,9,180.84,2025-04-28
T00184,C1078,P277,8,71.07,2025-04-10
T00185,C1209,P413,9,177.66,2025-03-03
T00186,C1433,P237,6,164.02,2025-05-08
T00187,C1423,P439,5,447.87,2025-05-19
T00188,C1607,P559,5,437.34,2025-05-23
T00189,C1816,P414,5,213.78,2025-03-28
T00190,C1727,P211,6,486.05,2025-04-06
T00191,C1680,P106,7,140.55,2025-03-26
T00192,C1329,P529,10,483.49,2025-01-07
T00193,C1553,P483,3,111.11,2025-04-23
T00194,C1021,P586,6,285.41,2025-06-09
T00195,C1814,P344,10,419.51,2025-01-25
T00196,C1039,P392,6,75.96,2025-04-18
T00197,C1283,P130,8,317.39,2025-05-20
T00198,C1943,P588,9,65.31,2025-01-13
T00199,C1199,P179,4,134.26,2025-05-11
T00200,C1753,P538,9,392.49,2025-03-15
T00201,C1269,P126,7,266.01,2025-02-13
T00202,C1666,P309,1,116.36,2025-03-11
T00203,C1659,P310,5,302.92,2025-02-27
T00204,C1851,P514,5,280.23,2025-06-13
T00205,C1274,P215,1,37.05,2025-01-27
T00206,C1954,P528,4,90.59,2025-01-03
T00207,C1236,P274,10,99.92,2025-02-07
T00208,C1499,P318,9,108.7,2025-01-07
T00209,C1814,P370,8,457.46,2025-01-21
T00210,C1869,P136,1,291.19,2025-01-06
T00211,C1557,P237,5,437.98,2025-06-20
T00212,C1793,P549,5,322.26,2025-05-06
T00213,C1367,P455,7,249.41,2025-04-29
T00214,C1403,P176,7,109.58,2025-02-19
T00215,C1410,P565,9,363.04,2025-05-24
T00216,C1093,P138,5,280.87,2025-02-21
T00217,C1207,P181,2,302.7,2025-03-24
T00218,C1057,P156,9,385.98,2025-02-03
T00219,C1275,P526,5,151.66,2025-02-16
T00220,C1820,P492,8,426.64,2025-04-06
T00221,C1188,P412,10,149.96,2025-02-18
T00222,C1970,P507,10,155.07,2025-04-18
T00223,C1821,P316,1,285.22,2025-05-18
T00224,C1386,P390,3,185.05,2025-03-21
T00225,C1318,P556,2,253.85,2025-05-02
T00226,C1745,P172,1,379.26,2025-05-12
T00227,C1599,P202,8,55.11,2025-02-20
T00228,C1234,P545,9,373.74,2025-02-09
T00229,C1226,P541,5,94.7,2025-05-21
T00230,C1999,P521,8,169.64,2025-03-09
T00231,C1553,P189,6,448.2,2025-01-10
T00232,C1630,P198,2,157.45,2025-06-10
T00233,C1352,P117,4,447.44,2025-02-08
T00234,C1892,P325,7,354.51,2025-02-06
T00235,C1183,P395,2,379.52,2025-06-19
T00236,C1833,P320,9,125.58,2025-05-21
T00237,C1175,P168,2,482.03,2025-03-12
T00238,C1676,P267,8,69.77,2025-03-17
T00239,C1256,P109,3,79.23,2025-03-17
T00240,C1734,P436,10,494.66,2025-05-11
T00241,C1963,P205,1,18.63,2025-05-02
T00242,C1535,P500,9,417.38,2025-01-19
T00243,C1449,P182,9,148.58,2025-03-26
T00244,C1062,P160,6,300.57,2025-02-25
T00245,C1127,P242,1,73.39,2025-05-15
T00246,C1189,P340,10,312.86,2025-05-04
T00247,C1614,P300,1,256.06,2025-05-15
T00248,C1216,P456,9,60.19,2025-01-27
T00249,C1357,P447,10,349.34,2025-04-15
T00250,C1739,P377,6,247.75,2025-04-08
T00251,C1136,P140,5,397.27,2025-01-04
T00252,C1980,P522,4,41.98,2025-05-15
T00253,C1032,P309,8,102.67,2025-06-02
T00254,C1455,P449,6,412.3,2025-02-04
T00255,C1846,P390,8,463.94,2025-06-05
T00256,C1295,P543,5,238.34,2025-06-02
T00257,C1987,P353,7,319.87,2025-06-17
T00258,C1780,P441,5,408.46,2025-04-25
T00259,C1937,P303,3,441.59,2025-03-16
T00260,C1639,P388,2,378.85,2025-04-18
T00261,C1391,P599,5,154.8,2025-03-30
T00262,C1499,P473,3,258.7,2025-05-07
T00263,C1856,P405,7,458.02,2025-03-21
T00264,C1946,P288,2,392.89,2025-02-09
T00265,C1543,P367,2,453.18,2025-04-17
T00266,C1529,P417,4,237.9,2025-02-01
T00267,C1856,P434,1,138.92,2025-05-09
T00268,C1119,P384,3,286.73,2025-06-22
T00269,C1927,P591,5,253.0,2025-01-10
T00270,C1603,P437,4,66.41,2025-02-10
T00271,C1798,P551,7,330.72,2025-06-30
T00272,C1662,P425,4,242.03,2025-03-10
T00273,C1219,P390,1,333.27,2025-04-14
T00274,C1761,P562,7,317.27,2025-06-22
T00275,C1377,P301,6,484.37,2025-03-06
T00276,C1620,P225,4,265.05,2025-05-01
T00277,C1500,P135,10,28.36,2025-01-16
T00278,C1460,P542,1,135.6,2025-04-18
T00279,C1094,P420,10,53.48,2025-04-16
T00280,C1793,P174,5,269.26,2025-03-25
T00281,C1549,P552,1,212.13,2025-01-23
T00282,C1784,P104,9,352.04,2025-01-31
T00283,C1323,P548,8,405.0,2025-05-20
T00284,C1961,P206,4,394.23,2025-01-06
T00285,C1619,P222,6,258.53,2025-03-22
T00286,C1913,P549,4,266.82,2025-02-25
T00287,C1671,P179,4,117.18,2025-04-16
T00288,C1086,P151,2,153.16,2025-01-28
T00289,C1382,P184,5,403.0,2025-03-14
T00290,C1729,P218,2,18.09,2025-04-09
T00291,C1894,P118,10,386.65,2025-06-12
T00292,C1991,P458,8,464.87,2025-02-17
T00293,C1285,P216,1,76.94,2025-04-20
T00294,C1486,P544,4,328.11,2025-05-17
T00295,C1267,P387,6,206.95,2025-05-16
T00296,C1521,P484,10,42.6,2025-03-11
T00297,C1785,P520,2,97.86,2025-05-26
T00298,C1882,P407,6,287.14,2025-04-12
T00299,C1951,P596,5,426.01,2025-05-09
T00300,C1220,P259,3,487.04,2025-03-22
T00301,C1742,P586,7,456.4,2025-03-27
T00302,C1195,P252,1,289.38,2025-02-09
T00303,C1042,P365,5,338.05,2025-03-07
T00304,C1950,P326,5,464.65,2025-06-06
T00305,C1768,P244,5,493.48,2025-05-18
T00306,C1180,P393,10,204.54,2025-06-07
T00307,C1087,P157,2,221.02,2025-05-06
T00308,C1732,P511,6,267.62,2025-05-13
T00309,C1738,P524,5,418.4,2025-03-18
T00310,C1007,P154,1,106.26,2025-01-01
T00311,C1715,P497,8,394.16,2025-01-30
T00312,C1446,P105,10,408.95,2025-01-26
T00313,C1279,P312,10,430.9,2025-03-24
T00314,C1011,P278,2,98.02,2025-05-06
T00315,C1528,P530,8,417.27,2025-05-26
T00316,C1292,P235,1,277.91,2025-06-13
T00317,C1081,P454,4,472.24,2025-03-31
T00318,C1626,P271,4,109.15,2025-06-25
T00319,C1006,P443,1,129.06,2025-05-22
T00320,C1800,P238,4,208.37,2025-04-19
T00321,C1845,P129,4,203.53,2025-02-17
T00322,C1425,P423,10,120.85,2025-04-17
T00323,C1938,P568,10,289.21,2025-05-09
T00324,C1378,P326,6,17.0,2025-03-15
T00325,C1436,P371,6,33.35,2025-05-06
T00326,C1336,P231,6,410.84,2025-04-17
T00327,C1500,P256,2,445.74,2025-06-09
T00328,C1758,P105,1,34.13,2025-03-12
T00329,C1107,P260,2,362.84,2025-05-31
T00330,C1720,P592,5,290.11,2025-01-23
T00331,C1071,P527,4,364.21,2025-04-24
T00332,C1002,P537,8,297.58,2025-01-31
T00333,C1329,P585,3,114.19,2025-01-22
T00334,C1312,P505,9,488.21,2025-04-15
T00335,C1700,P146,5,131.93,2025-06-13
T00336,C1923,P546,6,479.08,2025-01-18
T00337,C1773,P500,10,363.23,2025-03-31
T00338,C1674,P374,5,273.71,2025-05-27
T00339,C1292,P417,8,396.19,2025-03-28
T00340,C1484,P465,4,100.04,2025-04-07
T00341,C1961,P263,2,33.59,2025-06-29
T00342,C1753,P122,9,347.9,2025-03-06
T00343,C1776,P190,2,473.68,2025-03-11
T00344,C1851,P261,3,332.01,2025-03-12
T00345,C1172,P336,9,298.9,2025-04-01
T00346,C1420,P172,9,204.68,2025-02-26
T00347,C1217,P101,1,262.64,2025-03-26
T00348,C1159,P566,6,87.15,2025-02-17
T00349,C1134,P384,1,71.92,2025-01-15
T00350,C1697,P546,3,193.15,2025-01-10
T00351,C1800,P433,10,79.6,2025-01-27
T00352,C1587,P386,5,85.39,2025-06-07
T00353,C1704,P550,9,468.29,2025-03-02
T00354,C1399,P276,1,465.9,2025-05-11
T00355,C1466,P107,9,499.59,2025-01-12
T00356,C1710,P333,2,248.0,2025-06-20
T00357,C1326,P251,6,166.27,2025-05-29
T00358,C1612,P252,1,178.69,2025-05-28
T00359,C1185,P224,6,85.52,2025-02-25
T00360,C1420,P226,5,23.44,2025-04-24
T00361,C1151,P361,9,367.05,2025-02-03
T00362,C1878,P178,8,76.73,2025-04-02
T00363,C1970,P420,8,475.79,2025-05-20
T00364,C1595,P183,9,35.19,2025-02-12
T00365,C1004,P323,8,296.71,2025-01-21
T00366,C1177,P147,2,181.32,2025-06-09
T00367,C1154,P201,1,370.01,2025-04-29
T00368,C1488,P104,10,36.52,2025-05-27
T00369,C1487,P484,1,202.92,2025-05-18
T00370,C1454,P319,6,31.18,2025-03-18
T00371,C1767,P529,3,226.35,2025-06-30
T00372,C1056,P318,6,153.09,2025-01-21
T00373,C1783,P460,4,120.42,2025-04-06
T00374,C1922,P280,5,100.9,2025-01-04
T00375,C1088,P337,3,119.29,2025-06-27
T00376,C1296,P321,9,188.53,2025-04-12
T00377,C1841,P495,6,23.38,2025-04-24
T00378,C1081,P361,6,405.17,2025-04-27
T00379,C1478,P134,3,59.73,2025-03-09
T00380,C1035,P509,10,184.67,2025-06-01
T00381,C1407,P178,6,54.34,2025-02-07
T00382,C1532,P219,10,352.69,2025-02-04
T00383,C1841,P474,6,193.18,2025-04-08
T00384,C1994,P413,5,323.21,2025-06-29
T00385,C1259,P481,5,221.95,2025-02-28
T00386,C1085,P493,10,183.55,2025-06-20
T00387,C1131,P254,10,400.74,2025-03-01
T00388,C1935,P347,5,398.26,2025-01-18
T00389,C1527,P416,6,405.74,2025-02-24
T00390,C1431,P530,7,444.6,2025-02-19
T00391,C1183,P576,3,236.74,2025-03-04
T00392,C1746,P138,4,55.78,2025-05-26
T00393,C1185,P188,10,347.06,2025-02-20
T00394,C1999,P599,7,451.01,2025-04-28
T00395,C1583,P362,10,173.32,2025-04-11
T00396,C1722,P380,10,365.14,2025-05-07
T00397,C1842,P519,10,28.7,2025-05-23
T00398,C1461,P124,3,481.4,2025-06-18
T00399,C1792,P550,1,290.01,2025-05-06
T00400,C1560,P523,5,94.66,2025-02-04
T00401,C1404,P236,8,464.34,2025-01-03
T00402,C1953,P481,1,174.1,2025-03-06
T00403,C1775,P459,8,82.24,2025-04-17
T00404,C1219,P537,2,113.03,2025-02-07
T00405,C1707,P233,3,399.17,2025-01-07
T00406,C1571,P181,5,256.37,2025-02-13
T00407,C1947,P387,7,102.95,2025-02-12
T00408,C1437,P354,1,340.17,2025-01-01
T00409,C1237,P392,8,266.1,2025-01-24
T00410,C1914,P452,3,391.1,2025-02-25
T00411,C1876,P204,7,366.24,2025-06-17
T00412,C1270,P493,4,25.48,2025-05-25
T00413,C1748,P496,3,23.9,2025-03-07
T00414,C1632,P453,7,439.03,2025-04-16
T00415,C1917,P559,1,405.34,2025-05-07
T00416,C1441,P313,2,277.54,2025-04-03
T00417,C1475,P238,8,145.45,2025-01-19
T00418,C1709,P538,8,158.08,2025-06-06
T00419,C1033,P198,9,237.47,2025-02-27
T00420,C1184,P252,1,110.11,2025-01-25
T00421,C1959,P576,5,13.99,2025-05-07
T00422,C1969,P272,4,93.98,2025-01-28
T00423,C1284,P335,2,333.71,2025-01-09
T00424,C1169,P351,8,463.79,2025-02-08
T00425,C1531,P400,1,110.38,2025-06-16
T00426,C1887,P425,10,383.38,2025-01-06
T00427,C1278,P517,4,89.32,2025-05-09
T00428,C1184,P246,1,317.52,2025-03-03
T00429,C1983,P513,1,397.6,2025-05-27
T00430,C1403,P539,3,429.99,2025-05-16
T00431,C1343,P464,1,154.36,2025-01-16
T00432,C1692,P424,8,201.8,2025-03-16
T00433,C1175,P203,2,163.44,2025-04-07
T00434,C1840,P290,6,407.17,2025-03-17
T00435,C1573,P108,8,72.99,2025-04-26
T00436,C1277,P460,6,286.0,2025-02-11
T00437,C1834,P576,10,94.86,2025-06-08
T00438,C1159,P574,3,356.48,2025-02-09
T00439,C1135,P234,1,353.51,2025-05-27
T00440,C1071,P549,1,198.05,2025-03-20
T00441,C1030,P514,8,13.35,2025-04-22
T00442,C1553,P201,3,141.75,2025-06-22
T00443,C1003,P395,2,114.29,2025-06-10
T00444,C1824,P291,6,371.1,2025-05-12
T00445,C1699,P231,2,344.83,2025-05-29
T00446,C1637,P389,2,267.85,2025-06-23
T00447,C1985,P590,2,386.02,2025-03-08
T00448,C1357,P225,6,376.99,2025-01-17
T00449,C1526,P403,7,429.97,2025-01-18
T00450,C1294,P540,1,373.63,2025-05-11
T00451,C1154,P348,9,207.38,2025-06-12
T00452,C1501,P130,3,315.03,2025-01-17
T00453,C1207,P249,4,319.07,2025-04-10
T00454,C1147,P215,4,257.48,2025-01-06
T00455,C1272,P540,10,457.38,2025-04-02
T00456,C1279,P157,3,10.7,2025-05-05
T00457,C1997,P194,3,229.24,2025-06-02
T00458,C1362,P597,5,61.08,2025-04-12
T00459,C1459,P509,9,192.22,2025-03-18
T00460,C1098,P556,7,17.51,2025-04-25
T00461,C1784,P171,8,410.97,2025-06-09
T00462,C1816,P357,4,145.73,2025-05-31
T00463,C1012,P546,3,489.27,2025-06-17
T00464,C1630,P595,4,195.66,2025-06-25
T00465,C1981,P211,10,97.38,2025-04-20
T00466,C1531,P109,4,145.05,2025-06-20
T00467,C1598,P314,3,357.83,2025-01-01
T00468,C1721,P474,9,166.97,2025-02-26
T00469,C1270,P302,2,154.61,2025-02-05
T00470,C1924,P359,5,362.49,2025-04-05
T00471,C1619,P341,8,170.5,2025-05-15
T00472,C1373,P162,6,426.49,2025-04-10
T00473,C1994,P112,10,34.85,2025-04-01
T00474,C1190,P172,2,66.5,2025-06-09
T00475,C1623,P228,1,365.9,2025-03-26
T00476,C1816,P287,2,299.32,2025-04-13
T00477,C1832,P269,9,413.9,2025-01-05
T00478,C1286,P195,4,146.46,2025-06-05
T00479,C1119,P564,4,376.51,2025-04-19
T00480,C1728,P152,10,105.14,2025-05-09
T00481,C1992,P122,2,297.12,2025-04-07
T00482,C1336,P360,7,299.69,2025-06-28
T00483,C1841,P215,8,66.05,2025-02-22
T00484,C1571,P239,1,416.17,2025-01-18
T00485,C1316,P214,8,39.98,2025-02-09
T00486,C1969,P563,10,115.52,2025-05-29
T00487,C1077,P239,1,37.2,2025-03-20
T00488,C1676,P582,4,69.52,2025-05-27
T00489,C1662,P590,4,310.01,2025-03-26
T00490,C1241,P183,4,361.55,2025-04-18
T00491,C1467,P199,9,431.13,2025-04-03
T00492,C1990,P280,4,241.61,2025-01-10
T00493,C1959,P440,10,346.58,2025-01-05
T00494,C1510,P115,6,373.63,2025-03-04
T00495,C1478,P265,10,106.49,2025-05-13
T00496,C1048,P395,7,298.75,2025-06-01
T00497,C1804,P312,7,250.79,2025-04-20
T00498,C1773,P458,2,74.46,2025-04-15
T00499,C1918,P247,8,83.51,2025-06-03
T00500,C1189,P442,6,440.67,2025-04-11
T00501,C1201,P349,3,221.24,2025-03-25
T00502,C1023,P406,7,212.24,2025-06-01
T00503,C1772,P328,9,397.1,2025-06-09
T00504,C1079,P117,6,431.19,2025-04-02
T00505,C1905,P484,4,210.26,2025-01-31
T00506,C1730,P474,6,426.94,2025-04-01
T00507,C1251,P356,3,201.26,2025-01-14
T00508,C1856,P162,2,79.44,2025-01-06
T00509,C1494,P243,4,417.73,2025-05-23
T00510,C1319,P466,2,420.57,2025-05-31
T00511,C1699,P334,8,312.62,2025-02-12
T00512,C1734,P463,1,428.95,2025-06-10
T00513,C1950,P286,7,253.39,2025-03-02
T00514,C1809,P108,5,167.98,2025-03-16
T00515,C1493,P359,8,319.65,2025-02-21
T00516,C1172,P469,4,373.46,2025-03-29
T00517,C1579,P481,6,349.4,2025-03-21
T00518,C1657,P178,8,68.64,2025-06-22
T00519,C1809,P349,6,360.84,2025-03-17
T00520,C1880,P481,9,135.23,2025-01-15
T00521,C1475,P110,1,183.43,2025-06-04
T00522,C1170,P110,9,256.41,2025-02-28
T00523,C1332,P356,7,11.36,2025-01-24
T00524,C1110,P425,7,49.63,2025-04-20
T00525,C1558,P456,8,283.42,2025-04-25
T00526,C1296,P271,10,219.19,2025-03-15
T00527,C1482,P299,5,373.19,2025-06-12
T00528,C1072,P241,1,18.76,2025-06-09
T00529,C1902,P344,8,339.22,2025-03-19
T00530,C1724,P597,2,475.6,2025-06-11
T00531,C1134,P205,5,344.77,2025-06-01
T00532,C1295,P396,3,284.6,2025-03-27
T00533,C1756,P112,2,292.49,2025-06-28
T00534,C1348,P513,1,240.7,2025-03-04
T00535,C1758,P161,2,484.86,2025-02-27
T00536,C1316,P349,3,258.14,2025-01-16
T00537,C1274,P167,4,106.28,2025-03-22
T00538,C1287,P337,8,122.86,2025-01-04
T00539,C1310,P547,6,161.19,2025-01-20
T00540,C1834,P463,6,380.2,2025-02-26
T00541,C1344,P435,2,253.25,2025-03-07
T00542,C1504,P181,5,368.67,2025-04-26
T00543,C1961,P580,5,358.07,2025-05-18
T00544,C1290,P302,9,279.48,2025-02-20
T00545,C1007,P194,8,309.84,2025-04-07
T00546,C1838,P401,8,105.81,2025-04-27
T00547,C1096,P387,7,187.86,2025-05-28
T00548,C1768,P196,5,273.11,2025-01-05
T00549,C1990,P229,5,219.48,2025-02-12
T00550,C1217,P132,1,181.54,2025-06-06
T00551,C1881,P218,4,377.63,2025-01-06
T00552,C1467,P453,1,172.4,2025-01-30
T00553,C1865,P469,5,414.68,2025-04-28
T00554,C1543,P371,7,92.76,2025-06-28
T00555,C1583,P393,4,17.14,2025-01-03
T00556,C1207,P108,3,124.22,2025-02-18
T00557,C1502,P316,4,376.49,2025-02-16
T00558,C1988,P358,8,337.29,2025-04-08
T00559,C1732,P324,5,449.3,2025-04-08
T00560,C1630,P372,10,345.54,2025-03-25
T00561,C1863,P195,9,192.61,2025-03-10
T00562,C1010,P231,7,128.74,2025-03-13
T00563,C1232,P418,6,148.88,2025-01-27
T00564,C1905,P458,3,267.22,2025-05-23
T00565,C1114,P161,1,170.56,2025-05-08
T00566,C1244,P328,6,171.17,2025-01-07
T00567,C1439,P166,6,215.45,2025-03-25
T00568,C1795,P359,8,273.44,2025-05-27
T00569,C1735,P268,1,104.9,2025-06-14
T00570,C1194,P177,6,487.08,2025-04-02
T00571,C1297,P186,6,211.81,2025-04-02
T00572,C1500,P436,7,231.49,2025-01-22
T00573,C1290,P578,2,459.93,2025-03-16
T00574,C1225,P463,8,128.48,2025-02-08
T00575,C1289,P481,5,216.38,2025-03-04
T00576,C1402,P240,8,315.3,2025-06-11
T00577,C1195,P516,4,454.32,2025-03-12
T00578,C1554,P348,5,61.35,2025-02-13
T00579,C1230,P416,10,72.46,2025-01-24
T00580,C1675,P275,8,383.01,2025-02-08
